Activity Status,Program Number,Agency Number,Community Area,Program Type,Program Name,Hours,Contact,Description,Shipping Address,Shipping City,Shipping Zip,Service Areas,Aldermanic Ward,Cook County Commissioner Code,State Rep District,State Senator District,US Congressional District Code,FY13 - Lbs Dist,FY14 - Lbs Dist,FY15 - Lbs Dist,FY16 Lbs Dist,_,FY13 - Inds Serv,FY14 - Inds Serv,FY15 - Inds Serv,FY16  - Inds Serv,_,FY13 - Meals Served (meal programs),FY14 - Meals Served (meal programs),FY15 - Meals Served (meal programs),FY16 Meals Served (meal programs),,
INACTIVEFB,KC00187,A70009,Chicago Heights,KIDS CAFE,Sesto Park,Monday - Friday: L: 12:00 pm - 2:00 pm,Frank Iverson Jr.,Cold Meals: Start Date: 6/11/2012 to 8/17/2012,1922 Beacon Blvd,Chicago Heights,60411,,,5,80,40,2,"1,169",908,275,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00188,A70009,Chicago Heights,KIDS CAFE,Jirtle Park,Monday - Friday: L: 11:00 am - 1:00 pm,Frank Iverson Jr.,Cold Meals: Start Date: 6/11/2012 to 8/17/2012,116 E 25th St,Chicago Heights,60411,,,6,80,40,2,"1,870","1,925",275,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00197,A70009,Matteson,KIDS CAFE,New Faith Baptist Church -,CACFP 2013: 3:30-4:30 P.M.,Tennille Snodgrass,,25 S Central Ave,Matteson,60443,,,6,38,19,2,"5,583",0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEAG,KC00204,A70009,South Chicago Heights,KIDS CAFE,Cornerstone Christian School,Breakfast: 7:30am-9:30am; Lunch: 11:30am-12:30am,,Kids Cafe,,,,Monday-Friday,,6,80,40,2,495,604,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00205,A70009,Harvey,KIDS CAFE,Unity Fellowship,MTWRF. Breakfast: 9:30am-11:30am and Lunch: 12:30pm-2:30pm,Lula Ingram (site contact),Kids Cafe,,,,Closed Kids Cafe,,5,30,15,2,401,633,"1,522","1,697",,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00212,A70009,Ford Heights,SFSP,Education & Family Life Instit,MTWTF Breakfast 7:30AM-8:00AM and Lunch 12:00PM-12:30PM,Belinda Labay,SFSP 2016 - Cold,1100 Greenwood,Ford Heights,60411,Closed Program,,5,29,15,2,0,"1,331",139,"1,728",,0,0,0,0,,0,0,0,0,,
INACTIVEAG,KC00214,A70009,West Pullman,KIDS CAFE,Jesse Owens Elementary,,Yoran St. Clair,,12450 S State,Chicago,60628,,9,5,29,15,2,0,"2,948",0,0,,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00220,A70009,Richton Park,CACFP,Village of Richton Park,MTWRF,Davia Wilkerson,SFSP 2015 - Cold,530 Imperial Dr,Richton Park,60471,Closed Program,,6,38,19,2,0,"1,232","5,359","12,759",,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00251,A70009,Roseland,KIDS CAFE,New Foundation B. Church,MTWTF - Lunch 12:00PM-12:30PM,"Arlnette Dyer",SFSP 2015 - Cold,10622 South Wentworth Ave,Chicago,60628,Closed site,34,5,28,14,2,0,0,0,193,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00252,A70009,Matteson,KIDS CAFE,South Suburban Special (SSSRA),MTWT - Lunch 11:30AM-12:15PM,Tammy McMahon,SFSP 2015 - Cold,21302 Maple Street,Matteson,60443,Closed site,,6,38,19,2,0,0,206,304,,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00257,A70009,Ford Heights,SFSP,Medgar Evers - District #169,MTWT - Breakfast 8:30AM-9:00AM and Lunch 12:00PM-12:30PM,Coretta Jackson,SFSP 2016 - Cold,910 Woodlawn Ave,Ford Heights,60441,Closed site,,5,29,15,2,0,0,"3,171","2,338",,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00258,A70009,Riverdale - Suburb,SFSP,Riverdale Park District,MTWTF - Breakfast 9:30AM-10:30AM and Lunch - 12:00PM-1:00PM,Bianca Flynn,SFSP 2016 -Cold,14401 S. Stewart Ave,Riverdale,60827,Closed site,,5,30,15,2,0,0,"1,690","3,965",,0,0,0,0,,0,0,0,0,,
INACTIVEAG,KC00268,A70009,Chicago Heights,KIDS CAFE,Wacker Park (CHPD),MTWTF - Lunch,Mike DeButch,SFSP 2015,1025 S. Lowe Ave,Chicago,60628,Open site,,5,80,40,2,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00269,A70009,Harvey,KIDS CAFE,Kizer Memorial Summer Camp,MTWTF - Breakfast: 8:30AM-9:00AM and Lunch: 12:00PM-1:00PM,Deborah Love,SFSP 2015 - Cold,15001 Paulina Ave,Harvey,60426,Open site,,5,30,15,2,0,0,231,0,,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00270,A70009,South Deering,SFSP,CHA Trumbull Oglesby,MTWTF - Breakfast: 8:30AM-10:00AM and Lunch: 12:00PM-2:00PM,April N. Davis,SFSP 2016 - Hot,10606 S. Oglesby,Chicago,60617,Open site,7,4,33,17,2,0,0,333,"2,393",,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00284,A70009,South Shore,KIDS CAFE,Holman Leadership Academy,MTWTF: Breakfast 9:00AM-12:00PM and Lunch 10:00AM-1:00PM,Alisa Holman,SFSP 2015,7100 S. South Shore Drive,Chicago,60649,Closed Program,7,4,25,13,2,0,0,93,870,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00287,A70009,Roseland,KIDS CAFE,St. John Pentecostal Church,MTWTF: Lunch 12:15PM-12:45PM,Rosetta Wilbon,SFSP 2015 - Cold,10705 S. Michigan,Chicago,60628,Open Site,9,5,28,14,2,0,0,0,158,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00288,A70009,Calumet City,KIDS CAFE,State Representative Thaddeus,MWF: Lunch 11:00AM-1:00PM,TaMeka Greer,SFSP 2015 - Cold,1910 Sibley Blvd.,Calumet City,60509,Open Site,,4,29,15,2,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00293,A70009,South Chicago,KIDS CAFE,La Causa Community Committee,MTWTF: Lunch 12:30PM-1:30PM,Maricel Rivera,SFSP 2015 - Cold,8816 S. Commercial Ave.,Chicago,60617,Closed Program,10,4,26,13,2,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00299,A01062,South Chicago,KIDS CAFE,Gospel Way Covenant Church,MTWTF Lunch 12:00PM-1:30PM,Ruby Hearn,SFSP 2015 - Cold,8152 S Saginaw Ave,Chicago,60617,Open Program,7,4,26,13,2,0,0,83,994,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00325,A70009,Harvey,KIDS CAFE,United Fellowship Church,MTWTF Breakfast: 8:30AM-10:30AM and Lunch: 11:30AM-1:30PM,Nefertari Stoner,SFSP 2015- Cold,515 E. 147th Place,Harvey,60426,Open Site,,5,30,15,2,0,0,0,0,,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00333,A70009,South Shore,SFSP,Maranatha Comm Youth Center,,Jeanette Coleman,SFSP 2016,1631 E. 71st Street,Chicago,60649,Open Site,7,4,26,13,2,0,0,83,"1,073",,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00335,A70009,Riverdale - Chicago,SFSP,CHA- Altgeld 656,MTWTF Breakfast: 8:30AM-10:00AM and Lunch: 12:00PM-2:00PM,April Davis,SFSP 2016-Hot,656A E. 133rd Street,Chicago,60827,Open Site,9,5,29,15,2,0,0,305,"2,204",,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00336,A70009,Harvey,KIDS CAFE,Standberry Christian Academy,MTWTF Breakfast: 9:00AM-10:00AM and Lunch: 12:00PM-1:00PM,Rev/ Dr. H.L. Standberry,SFSP 2015-Cold,"536 E. 147th St.",Harvey,60426,Open Site,,5,30,15,2,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00338,A70009,South Chicago,KIDS CAFE,Inner City Youth Service,MTWTF Breakfast: 8:30AM-9:30AM and Lunch:12:00PM-1:00PM,Alexis Butts,SFSP 2015-Cold,"9214 S. Commerical",Chicago,60617,Open Site,10,4,25,13,2,0,0,426,93,,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00343,A70009,Pullman,SFSP,CHA - Olive Harvey College,MTWTF: Breakfast 8:00am-9:00am and Lunch 12:00pm-1:00pm,April Davis,SFSP 2016 - Cold,10001 S. Woodlawn Ave.,Chicago,60628,Closed Program,8,4,34,17,2,0,0,601,"6,584",,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00350,A70009,South Deering,SFSP,CHA- Trumbull,MTWTF: Breakfast 8:30am-10:00am and Lunch 12:00pm-2:00pm,April Davis,SFSP 2016 - Hot,10616 S. Bensley,Chicago,60617,Open Program,7,4,33,17,2,0,0,250,"1,334",,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00351,A70009,Riverdale - Chicago,SFSP,CHA- Altgeld Langley,MTWTF: Breakfast 8:30am-10:00am and Lunch 12:00pm-2:00pm,April Davis,SFSP 2016 - Hot,13136 S. Langley,Chicago,60827,Open Program,9,5,29,15,2,0,0,389,"2,017",,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00352,A70009,Riverdale - Chicago,SFSP,CHA- Altgeld Evans,MTWTF: Breakfast 8:30am-10:00am and Lunch 12:00pm-2:00pm,April Davis,SFSP 2016 - Hot,13046 S. Evans,Chicago,60827,Open Program,9,5,29,15,2,0,0,333,"2,692",,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00353,A70009,Riverdale - Chicago,SFSP,CHA- Altgeld 742,MTWTF: Breakfast 8:30am-10:00am - Lunch 12:00pm-2:00pm,April Davis,SFSP 2016 - Hot,742 E. 133rd Place,Chicago,60827,Open Program,9,5,29,15,2,0,0,416,"2,643",,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00354,A70009,Riverdale - Chicago,SFSP,CHA- Altgeld Greenwood,MTWTF: Breakfast 8:30am-10:00am and Lunch 12:00pm-2:00pm,April Davis,SFSP 2016 - Hot,13032 S. Greenwood,Chicago,60827,Open Program,9,5,29,15,2,0,0,361,"2,552",,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00368,A70009,South Shore,KIDS CAFE,CYC: Edu Supp Init Program,MTW Lunch: 12:00PM-12:30PM,Ashley Payton,SFSP 2015-Cold,7601 S. Phillips Avenue,Chicago,60649,Closed Program,7,4,25,13,2,0,0,0,765,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00369,A70009,Roseland,KIDS CAFE,Success to Significance,MTWT Breakfast: 9:15AM-10:00AM and Lunch: 12:15PM-1:00PM,Dr. Ramona James,SFSP 2015-Cold,49 W. 111th Place,Chicago,60628,Closed Program,34,5,28,14,2,0,0,0,"1,803",,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00370,A00052,Roseland,SFSP,Roseland Christian Ministries,,Harold Boyd,,10858 S. Michigan Avenue,Chicago,60628,,9,5,28,14,2,0,0,0,"1,457",,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00374,A70009,Roseland,SFSP,Metropolitan Family Services,,Kim Greene,SFSP 2016 - Cold,235 E. 103rd Street,Chicago,60628,,9,5,28,14,2,0,0,0,943,,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00375,A70009,Riverdale - Chicago,SFSP,Metropolitan Family Services,MT: Lunch 12pm-1pm and Snack 3:30-4:00pm,Falecia Brown,SFSP 2016 - Cold,951 E. 132nd Place,Chicago,60827,Closed Program,9,5,29,15,2,0,0,0,"1,878",,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00376,A70009,Harvey,SFSP,Harvey Park District,MTWTF:Breakfast 8:00am-10:00; Lunch 12:00pm-2:00pm,Kosha McCaskill,SFSP 2016 - Cold,16001 Woodbridge,Harvey,60426,Closed Program,,5,30,15,2,0,0,0,"1,081",,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00377,A70009,Riverdale - Chicago,KIDS CAFE,Golden Gate Day Care Center,MTWTF: Breakfast 8:15am and Lunch 9:15am,Ulondia Johnson,SFSP 2015 - Cold,432 E. 134th Street,Chicago,60827,Open Program,9,5,29,15,2,0,0,231,265,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00383,A70009,Matteson,KIDS CAFE,South Suburban Special Rec Ass,MTWT: Lunch 11:30am-12:15pm,Tammy McMahon,SFSP 2015 - Cold,20642 Matteson Ave.,Chicago,60443,Closed Program,,6,38,19,2,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00391,A70009,South Deering,KIDS CAFE,Little Angels Academy,MTWTF Lunch: 11:00AM-11:45AM and Snack: 3:00PM-3:30PM,Gloria Collins,SFSP 2015-Cold,10501 S. Torrence Ave.,Chicago,60617,Closed Program,10,4,33,17,2,0,0,182,"1,196",,0,0,0,0,,0,0,0,0,,
INACTIVEAG,KC00392,A70009,Harvey,KIDS CAFE,Martin Luther King Jr. Park,MTWTF Lunch: 2:30PM-4:00PM,Vanessa Wade,SFSP 2015- Cold,15000 Dell- Way,Harvey,60426,Open Program,,5,30,15,2,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00396,A00463,Hazel Crest,KIDS CAFE,Hazel Crest Community Ch UMC,TWT: Breakfast: 9:00AM-10:00AM and Lunch: 12:00PM-1:00PM,Rev. Linny Hartzell,SFSP 2015-Cold,17050 California Sve,Hazel Crest,60429,Open Program,,5,38,19,2,0,0,204,927,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00399,A70009,Roseland,KIDS CAFE,It Takes a Village,MTWTF Breakfast: 10:00AM-10:45AM and Lunch: 1:00PM-1:45PM,Queen Sister,SFSP 2015-Cold,10626 S. Normal Ave,Chicago,60628,Open Program,34,5,28,14,2,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00400,A70009,Country Club Hills,KIDS CAFE,Achieve Chicago Southland,MTWTF Breakfast: 9:15AM-9:45AM and Lunch: 12:00PM-1:00PM,Eve Welch,SFSP 2015-Cold,17401 South Pulaski,Country Club Hills,60478,Closed Program,,5,38,19,2,0,0,"1,071","1,376",,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00404,A70009,Harvey,KIDS CAFE,Riley School,MTWTF Breakfast: 8:30AM-8:55AM and 11:30PM-12:00PM,Dr. Geogette Lee,SFSP 2015- Cold,16001 Lincoln Ave,Harvey,60426,Closed Program,,5,30,15,2,0,0,0,796,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00405,A70009,Harvey,KIDS CAFE,Whittier Elementary School,MTWT Breakfast: 8:30AM-9:00AM and Lunch: 11:30PM-12:30PM,Johnnetta Miller,SFSP 2015-Cold,71 E. 152nd Street,Harvey,60426,Closed Program,,5,30,15,2,0,0,"1,429","2,606",,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00406,A70009,Harvey,KIDS CAFE,Bryant Elementary School,MTWT Breakfast: 8:30AM-9:00AM and Lunch: 11:30PM-12:30PM,Johnnetta Miller,SFSP 2015-Cold,14730 S. Main Street,Harvey,60426,Closed Program,,5,30,15,2,0,0,"2,489","3,103",,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00407,A70009,Harvey,KIDS CAFE,Holmes Elementary School,MTWT Breakfast: 8:30AM-9:00AM and Lunch: 11:30PM-12:00PM,Johnnetta Miller,SFSP 2015-Cold,16000 Carse Street,Harvey,60426,Closed Program,,5,30,15,2,0,0,"1,433","1,712",,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00410,A70009,,SFSP,Lunch Bus - SE Route,,Kelsie Kliner,,,,,,0,5,28,14,2,0,0,0,"1,856",,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00411,A01387,Washington Heights,SFSP,Third Baptist Church ofChicago,,Gladys L. Jones,,,,,,,4,29,15,2,0,0,0,240,,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00412,A70009,Austin,SFSP,Rising Stars Youth Club,MTWT Breakfast 9-9:30am; Lunch 1-12:30pm,Beverly Griffin,SFSP 2016 Cold,,,,Open Program,,4,33,17,2,0,0,0,240,,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00413,A70009,Sauk Village,SFSP,RSOC,MTWTF Breakfast 9-10am; Lunch 12-1pm,Patricia Denson,SFSP 2016 Hot,,,,Open Program,,6,80,40,2,0,0,0,600,,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00414,A70009,Lower West Side,SFSP,Union League Boys & Girls Club,,Tracy Ferguson,,,,,,,5,80,40,2,0,0,0,"1,238",,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00433,A70009,Harvey,KIDS CAFE,The Harvey Finishers TrackClub,MTWT Snack 6:15pm-6:30pm and Supper 7:30pm-8:00pm,Theresa Bosan,SFSP 2015 - Cold,14900 Broadway Ave.,Harvey,60426,Closed Program,,5,30,15,2,0,0,0,0,,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00435,A70009,Riverdale - Suburb,SFSP,Shekinah Chapel - SIMFA Summer,MTWTF Breakfast 9:30am-10:15am and Lunch 12:30pm-1:15pm,Corrine Seaton,SFSP 2016 - Cold,13800 S. Wabash,Riverdale,60827,Open Program,,5,30,15,2,0,0,"1,275","2,999",,0,0,0,0,,0,0,0,0,,
INACTIVEAG,KC00438,A70009,Richton Park,CACFP,Beginnings Pre-School,,Mary Powell,SFSP 15; Cold Meals,,,,Closed,,6,38,19,2,0,0,478,"9,483",,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00446,A70009,Roseland,SFSP,Mercy Housing Lakefront,MTWT Breakfast 9:30am-10:30am; Lunch 12:30pm-1:30pm,Yolanda Adams,SFSP 2016 Cold,10426 S Michigan Ave,Chicago,60628,Open,9,5,28,14,2,0,0,139,"1,271",,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00451,A70009,Riverdale - Chicago,SFSP,My Cheer Now Summer Camp,,Marquel Qaiyim,SFSP 16,,,,Open,9,4,34,17,2,0,0,185,"2,098",,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00458,A70009,South Chicago,SFSP,CHA Mackinaw,M-F BReakfast 8:30-10:00; Lunch 12:00-2:00pm,April Davis,SFSP 2016- Hot,8330 S. Mackinaw,Chicago,60617,Open Program,10,4,25,13,2,0,0,93,"1,657",,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00460,A70009,South Chicago,KIDS CAFE,Immaculate Conception School,,Sr. Katia Alcantar,SFSP15,,,,Closed,10,4,26,13,2,0,0,0,"2,428",,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00463,A70009,South Chicago,SFSP,King of Glory Tabernacle Churc,,Dawn Hodges,SFSP 15,,,,Open,8,4,33,17,2,0,0,0,"2,500",,0,0,0,0,,0,0,0,0,,
ACTIVE,KM00023,A70004,Riverdale - Chicago,HKM,Carver Elementary School,2nd and 4th Thursday: 1:00 am - 2:00 pm,Darlene Bouyer-Nance,Healthy Kids Market,901 E 133rd Pl,Chicago,60827,Closed Program,9,5,29,15,2,0,0,"10,066","35,743",,0,0,"1,688","6,013",,0,0,0,0,,
ACTIVE,KM00029,A70004,South Shore,HKM,O'Keeffe School of Excellence,2nd/4th Wednesday 3:45-5:45,Myrna Ferguson,Healthy Kids Market,"6940 S Merrill Ave",Chicago,60649,Closed Program,5,3,25,13,2,0,0,0,"17,267",,0,0,0,"1,529",,0,0,0,0,,
ACTIVE,KM00030,A70004,South Chicago,HKM,Arnold Mireles Academy,2nd/4th Thursday 1:30-3:00,Barbara Henry,Healthy Kids Market,9000 S. Exchange,Chicago,60617,Closed Program,10,4,26,13,2,0,0,0,"28,995",,0,0,0,"3,599",,0,0,0,0,,
INACTIVEFB,MP00003,A01217,South Chicago Heights,GCFD-MP,Alicia's House,2 Holiday dists.,Stella and Juan Hernandez,MOBILE PANTRY,17 Paulsen Ave,South Chicago Heights,60411,Cook County,,6,80,40,2,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,MP00004,A01217,Sauk Village,GCFD-MP,Respond Now: Sauk Village,,Carl Wolf and Idette,MOBILE PANTRY,21701 Torrence Ave,Sauk Village,60411,Cook County,,6,33,17,2,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,MP00009,A01217,Ford Heights,GCFD-MP,Ford Heights Community Service,,Angelia F. Smith,MOBILE PANTRY,943 E Lincoln Hwy,Ford Heights,60411,Cook County,,5,29,15,2,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,MP00012,A01217,Chicago Heights,GCFD-MP,Chicago Miracle Temple Church,Every 2nd Saturday: 10:00 am - 12:00 pm,Pastor Cheryl Anderson,MOBILE PANTRY,34 E 16th St,Chicago Heights,60411,Cook County,,5,80,40,2,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,MP00013,A01217,Markham,GCFD-MP,Hope Community Services,1 x distribution,Pat,MOBILE PANTRY,16361 Kedzie Ave,Markham,60428,Cook County,,5,38,19,2,0,0,0,0,,0,0,0,474,,0,0,0,0,,
ACTIVE,MP00015,A01217,Sauk Village,GCFD-MP,Emmanuel Church,"Every 2nd Wednesday: 3:30 pm - 5:30 pm,Cancelled,1/13/16, 2/10/2016, 3/9/2016",Rich Dykstra,MOBILE PANTRY,22515 Torrence Ave,Sauk Village,60411,Cook County,,6,33,17,2,"184,914","109,793","83,450","83,591",,"6,971","4,049","3,773","4,058",,0,0,0,0,,
INACTIVEAG,MP00025,A01217,Chicago Heights,GCFD-MP,TSA: Chicago Heights,Every 3rd Wednesday: 4:00 pm - 6:00 pm,Jennifer Goff,MOBILE PANTRY,425 S Halsted St,Chicago Heights,60411,Cook County,,5,80,40,2,"51,375",0,0,0,,"2,251",0,0,0,,0,0,0,0,,
INACTIVEFB,MP00032,A01217,Chicago Heights,GCFD-MP,Greater Faith Baptist Church,Every 3rd Saturday: 9:00 am - 11:00 am,Lucille Mosby,MOBILE PANTRY,1417 Emerald Ave,Chicago Heights,60411,Chicago Heights,,5,80,40,2,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,MP00038,A90000,Roseland,FOODBOX,Vivian E. Summer Preparatory S,,Shawn Smith,,30 E 112th Pl,Chicago,60628,,9,5,28,14,2,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,MP00042,A90098,Riverdale - Chicago,FOODBOX,Carver Park-DFSS Service Fair,,Marcos Rodriguez,,939 E 132nd St,Chicago,60827,,9,5,29,15,2,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,MP00044,A90098,South Chicago,FOODBOX,Christ Bible Church of Chicago,,Via Harrell,,7877 S Coles Ave,Chicago,60649,,7,4,25,13,2,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,MP00063,A90000,South Chicago,FOODBOX,Christ Deliverance Church,,Bishop Lester Bell,,8226 S Muskegon Ave,Chicago,60617,,7,4,26,13,2,"7,925",0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,MP00082,A90000,South Deering,FOODBOX,St. Kevin Food Pantry,,Carmen TonKovich,,10509 S Torrence Ave,Chicago,60617,,10,4,33,17,2,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,MP00084,A90000,South Chicago,FOODBOX,Christ Bilbe Church of God,,,,7877 S Coles Ave,Chicago,60649,,7,4,25,13,2,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,MP00088,A90000,South Chicago,FOODBOX,Grace Apostolic Church,,,,8233 S Exchange Ave,Chicago,60617,,7,4,26,13,2,0,0,0,0,,0,0,0,0,,0,0,0,0,,
ACTIVE,MP00101,A01217,South Chicago,GCFD-MP,Impact Ministry/,Every 3rd Wednesday: 3:30pm- 5:30pm,"Ronald Carter, Jr",MOBILE PANTRY,7877 S Coles Ave,Chicago,60649,Cook County,7,4,25,13,2,"171,297","129,232","148,692","127,305",,"9,470","6,641","6,860","5,090",,0,0,0,0,,
ACTIVE,MP00102,A01217,Chicago Heights,GCFD-MP,True Foundation Church,Every 3rd Saturday: 9:00 am - 11:00 am,Mae Davis,MOBILE PANTRY,189 E 14th St,Chicago Heights,60411,Cook County,,5,80,40,2,"124,258","100,782","107,486","100,270",,"4,459","3,661","3,643","4,220",,0,0,0,0,,
ACTIVE,MP00107,A01217,Chicago Heights,GCFD-MP,Faith Movers Church,Every 3rd Wednesday: 4:00-6:00pm,Gloria Simmons,MOBILE PANTRY,220 East 15th St.,Chicago Heights,60411,Cook County,,5,80,40,2,"87,005","127,187","153,208","120,547",,"5,289","8,509","8,619","8,000",,0,0,0,0,,
INACTIVEFB,MP00110,A01217,Chicago Heights,GCFD-MP,Access Health/Respond Now,"8/27/13, 9/24/13, 10/22/13, 4:00 pm - 6:00 pm",Carl Wolf,MOBILE PANTRY,152 W Lincoln Hwy,Chicago Heights,60411,Cook County,,5,80,40,2,0,"26,715",0,0,,0,"1,477",0,0,,0,0,0,0,,
INACTIVEFB,MP00115,A01217,South Holland,GCFD-MP,Covenant United C.O.C.,4:00 - 6:00 pm,,One-time CEDA Mobile Distribution,1130 E 154th St,South Holland,60473,Suburban Cook County,,6,29,15,2,0,"8,913",0,0,,0,515,0,0,,0,0,0,0,,
INACTIVEFB,MP00118,A90000,South Deering,FOODBOX,Trumball Park,,Cyndi Rivera,,2400 E 105th St,Chicago,60617,,7,4,33,17,2,"5,000",0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,MP00119,A90000,Roseland,FOODBOX,Palmer Park,,Cyndi Rivera,,201 E 11th St,Chicago,60628,,9,5,28,14,2,"5,000",0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,MP00125,A01217,Sauk Village,GCFD-MP,Respond Now: Sauk Village,4:00 - 6:00 pm,,One-time CEDA Mobile Pantry,21801 Torrence Ave,Sauk Village,60411,Suburban Cook County,,6,33,17,2,0,"8,797",0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,MP00127,A01217,Harvey,GCFD-MP,Millennium Ministries,9:00 - 11:00 am,,One-time CEDA Mobile Pantry,,,,Suburban Cook County,,5,30,15,2,0,"7,973",0,0,,0,402,0,0,,0,0,0,0,,
INACTIVEFB,MP00128,A01217,Park Forest,GCFD-MP,St Irenaeus/Catholic Charities,9:00 -11:00 am,,One-time CEDA Mobile Pantry,207 S Orchard Dr,Park Forest,60466,Suburban Cook County,,6,80,40,2,0,"8,288",0,0,,0,305,0,0,,0,0,0,0,,
INACTIVEFB,MP00131,A01217,Roseland,GCFD-MP,Roseland Christian Ministries,,Julia Norris,,10858 S Michigan Ave,Chicago,,,9,5,28,14,2,0,"14,673",0,"19,341",,0,"1,007",0,663,,0,0,0,0,,
INACTIVEFB,MP00132,A01217,Riverdale - Chicago,GCFD-MP,Altgeld Murray Homes,,Bernadette Williams,,922 E 131st St,Chicago,60827,,9,5,29,15,2,0,"9,388",0,0,,0,469,0,0,,0,0,0,0,,
INACTIVEFB,MP00139,A01217,Harvey,GCFD-PM,Millennium Ministries,"June 18th and August 20th, 2015: 10:00AM-12:00PM",Carolyn Burgess,2015 CEDA Produce Mobile, 15300 Marshfield Ave,Harvey,60426,Suburban Cook County,,5,30,15,2,0,0,"7,123",0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,MP00140,A01217,Dolton,GCFD-PM,Abundant Living Christian Ctr,7/30/15 and 9/30/15; 10:00AM-12:00PM,Danyelle Davis,2015 CEDA Produce Mobile,14540 Lincoln Ave,Dolton,60419,Suburban Cook County,,6,29,15,2,0,0,0,0,,0,0,0,0,,0,0,0,0,,
