Community Area,"Student enrollment in NSLP sponsoring schools, 2016","Children eligible for free and reduced price meals, 2016",Normalized Eligible Children (#Eligible/Total # Eligible),Students Eligible,"Estimated breakfast average daily participation (ADP), Oct 2015","Estimated lunch average daily participation (ADP), Oct 2015","Estimated school breakfast participation rate, Oct 2015","Estimated school lunch participation rate, Oct 2015","Number of Summer Food Service Program (SFSP) sites, 2015","Number of Summer Seamless Option (SSO) sites, 2015","Summer meal sites (SFSP and SSO), 2015","SFSP breakfast average daily participation (ADP), July 2015","SSO breakfast average daily participation (ADP), July 2015","Estimated overall summer breakfast participation rate, July 2015","SFSP lunch average daily participation (ADP), July 2015","SSO lunch average daily participation (ADP), July 2015","Estimated overall summer lunch participation rate, July 2015","Number of children in poverty, 2014",Number of children in poverty per summer meal site,Total number of 2015 summer meals distributed (SFSP + SSO meals),Total number of 2015 summer snacks distributed (SFSP + SSO snacks)
Rolling Meadows,"3,200","1,315",0.24%,41%,293,887,22%,67%,3,  -   ,3,126,  -   ,10%,  -   ,  -   ,0%,#REF!,No sites,"2,410",  -
Roseland,"5,987","5,776",1.05%,96%,"2,905","4,237",50%,73%,33,9,42,456,509,17%,"1,402","1,100",43%,#REF!,No sites,"85,495","14,750"
Rosemont,226,79,0.01%,35%, na ,40,na,50%,  -   ,  -   ,  -   ,  -   ,  -   ,0%,  -   ,  -   ,0%,#REF!,No sites,  -   ,  -
Sauk Village,"1,322","1,322",0.24%,100%,"1,171","1,172",89%,89%,  -   ,2,2,  -   ,120,9%,  -   ,141,11%,#REF!,No sites,"6,905",  -
Schaumburg,"2,281",774,0.14%,34%,132,394,17%,51%,  -   ,  -   ,  -   ,  -   ,  -   ,0%,  -   ,  -   ,0%,#REF!,No sites,  -   ,  -
Schiller Park,"1,514",788,0.14%,52%,217,572,28%,73%,  -   ,1,1,  -   ,  -   ,0%,  -   ,  -   ,0%,#REF!,No sites,"2,653",  -
Skokie,"6,543","2,773",0.50%,42%,383,"1,847",14%,67%,4,  -   ,4,156,  -   ,6%,241,  -   ,9%,#REF!,No sites,"13,158","3,574"
South Barrington, na , na ,#VALUE!,na, na , na ,na,na,  -   ,  -   ,  -   ,  -   ,  -   ,0%,  -   ,  -   ,0%,#REF!,No sites,  -   ,  -
South Chicago,"4,701","4,553",0.83%,97%,"2,288","3,548",50%,78%,22,5,27,507,160,15%,"1,185",276,32%,#REF!,No sites,"58,515","11,284"
South Chicago Heights,610,515,0.09%,84%,174,403,34%,78%,1,  -   ,1,  -   ,  -   ,0%,27,  -   ,5%,#REF!,No sites,"1,456",  -
South Deering,"1,901","1,872",0.34%,98%,"1,143","1,520",61%,81%,10,3,13,210,100,17%,374,272,35%,#REF!,No sites,"32,848","4,959"
South Holland,"4,190","3,293",0.60%,79%,"1,444","2,874",44%,87%,6,3,9,101,55,5%,257,  -   ,8%,#REF!,No sites,"20,673","6,018"
South Lawndale,"13,590","13,468",2.45%,99%,"6,320","11,532",47%,86%,15,11,26,189,544,5%,949,"1,140",16%,#REF!,No sites,"76,604","10,930"
South Shore,"3,718","3,707",0.67%,100%,"2,403","2,942",65%,79%,20,3,23,504,289,21%,893,360,34%,#REF!,No sites,"76,349","5,183"
Steger,"1,427","1,427",0.26%,100%,235,901,16%,63%,  -   ,1,1,  -   ,39,3%,  -   ,57,4%,#REF!,No sites,"3,451",  -
Stickney,620,480,0.09%,77%,50,312,10%,65%,  -   ,2,2,  -   ,  -   ,0%,  -   ,  -   ,0%,#REF!,No sites,973,  -
Stone Park,80,80,0.01%,100%,21,73,26%,92%,  -   ,  -   ,  -   ,  -   ,  -   ,0%,  -   ,  -   ,0%,#REF!,No sites,  -   ,  -
Streamwood,"6,858","3,852",0.70%,56%,"1,204","2,816",31%,73%,  -   ,  -   ,  -   ,  -   ,  -   ,0%,  -   ,  -   ,0%,#REF!,No sites,  -   ,  -
Summit,"3,415","2,786",0.51%,82%,617,"2,035",22%,73%,  -   ,2,2,  -   ,203,7%,  -   ,179,6%,#REF!,No sites,"8,904",  -
Thornton,224,83,0.02%,37%, na ,63,na,76%,  -   ,  -   ,  -   ,  -   ,  -   ,0%,  -   ,  -   ,0%,#REF!,No sites,  -   ,  -
Tinley Park,"1,838",637,0.12%,35%,206,424,32%,66%,1,  -   ,1,  -   ,  -   ,0%,6,  -   ,1%,#REF!,No sites,246,  -
Uptown,"4,173","3,902",0.71%,93%,"2,171","3,013",56%,77%,19,5,24,212,189,10%,"1,175",224,36%,#REF!,No sites,"58,372","19,136"
Washington Heights,"6,133","6,059",1.10%,99%,"2,731","5,022",45%,83%,19,3,22,351,172,9%,764,341,18%,#REF!,No sites,"52,232","14,156"
Washington Park,"3,121","3,121",0.57%,100%,"1,567","2,575",50%,83%,10,3,13,338,20,11%,573,39,20%,#REF!,No sites,"34,875","2,508"
West Elsdon,"3,774","3,774",0.69%,100%,"1,439","2,714",38%,72%,1,2,3,  -   ,261,7%,83,391,13%,#REF!,No sites,"17,875",  -
West Englewood,"4,978","4,649",0.85%,93%,"2,809","3,785",60%,81%,25,8,33,693,479,25%,"1,159",690,40%,#REF!,No sites,"95,825","8,512"
West Garfield Park,"2,207","2,207",0.40%,100%,"1,414","2,015",64%,91%,15,2,17,447,96,25%,806,121,42%,#REF!,No sites,"62,211","1,931"
West Lawn,"5,032","4,894",0.89%,97%,"1,577","3,660",32%,75%,4,5,9,142,315,9%,323,545,18%,#REF!,No sites,"38,100","4,282"
West Pullman,"2,917","2,916",0.53%,100%,"2,025","2,562",69%,88%,14,3,17,469,184,22%,969,196,40%,#REF!,No sites,"63,662","13,929"
West Ridge,"9,364","8,360",1.52%,89%,"3,308","6,000",40%,72%,17,3,20,461,322,9%,"1,627",480,25%,#REF!,No sites,"77,369","12,122"
West Town,"12,142","10,463",1.90%,86%,"4,167","7,491",40%,72%,25,8,33,376,394,7%,"1,379",588,19%,#REF!,No sites,"89,154","25,695"
Westchester,423,44,0.01%,10%, na ,32,na,73%,  -   ,  -   ,  -   ,  -   ,  -   ,0%,  -   ,  -   ,0%,#REF!,No sites,  -   ,  -
Western Springs, na , na ,#VALUE!,na, na , na ,na,na,  -   ,  -   ,  -   ,  -   ,  -   ,0%,  -   ,  -   ,0%,#REF!,No sites,  -   ,  -
Wheeling,"3,537","2,544",0.46%,72%,420,"1,893",16%,74%,  -   ,  -   ,  -   ,  -   ,  -   ,0%,  -   ,  -   ,0%,#REF!,No sites,  -   ,  -
Willow Springs,764,274,0.05%,36%,78,218,29%,80%,  -   ,  -   ,  -   ,  -   ,  -   ,0%,  -   ,  -   ,0%,#REF!,No sites,  -   ,  -
Wilmette, na , na ,#VALUE!,na, na , na ,na,na,  -   ,  -   ,  -   ,  -   ,  -   ,0%,  -   ,  -   ,0%,#REF!,No sites,  -   ,  -
Winnetka, na , na ,#VALUE!,na, na , na ,na,na,  -   ,  -   ,  -   ,  -   ,  -   ,0%,  -   ,  -   ,0%,#REF!,No sites,  -   ,  -
Woodlawn,"3,787","3,787",0.69%,100%,"1,699","2,916",45%,77%,21,4,25,407,123,14%,"1,194",332,40%,#REF!,No sites,"66,845","9,350"
Worth,968,779,0.14%,80%,419,298,54%,38%,  -   ,  -   ,  -   ,  -   ,  -   ,0%,  -   ,  -   ,0%,#REF!,No sites,  -   ,  -
